"Package","Version"
"jsonlite","1.8.9"
"jtools","2.3.0"
"juicyjuice","0.1.0"
"kableExtra","1.4.0"
"kernlab","0.9-33"
"KernSmooth","2.23-26"
"km.ci","0.5-6"
"KMsurv","0.1-5"
"knitr","1.49"
"ks","1.14.3"
"labeling","0.4.3"
"labelled","2.14.0"
"languageserver","0.3.16"
"later","1.4.1"
"lattice","0.22-6"
"latticeExtra","0.6-30"
"lava","1.8.1"
"lazyeval","0.2.2"
"lcmm","2.1.0"
"lhs","1.2.0"
"lifecycle","1.0.4"
"lintr","3.1.2"
"listenv","0.9.1"
"lme4","1.1-36"
"lmtest","0.9-40"
"lobstr","1.1.2"
"locfit","1.5-9.10"
"loo","2.8.0"
"lpSolveAPI","5.5.2.0-17.12"
"lubridate","1.9.4"
"magick","2.8.5"
"magrittr","2.0.3"
"markdown","1.13"
"marqLevAlg","2.0.8"
"MASS","7.3-64"
"MatchIt","4.7.0"
"mathjaxr","1.6-0"
"Matrix","1.7-1"
"MatrixModels","0.5-3"
"matrixStats","1.5.0"
"maxstat","0.7-25"
"mclust","6.1.1"
"memoise","2.0.1"
"metadat","1.2-0"
"metafor","4.6-0"
"mets","1.3.5"
"mgcv","1.9-1"
"mice","3.17.0"
"microbenchmark","1.5.0"
"mime","0.12"
"minqa","1.2.8"
"mitml","0.4-5"
"mitools","2.4"
"mlogit","1.1-1"
"modeldata","1.4.0"
"modelenv","0.2.0"
"ModelMetrics","1.2.2.2"
"modelr","0.1.11"
"modelsummary","2.2.0"
"modeltools","0.2-23"
"msm","1.8.2"
"mstate","0.3.3"
"muhaz","1.2.6.4"
"multcomp","1.4-26"
"multicool","1.0.1"
"munsell","0.5.1"
"mvtnorm","1.3-3"
"naniar","1.1.0"
"NHPoisson","3.3"
"nleqslv","3.3.5"
"nlme","3.1-166"
"nloptr","2.1.1"
"nnet","7.3-20"
"norm","1.0-11.1"
"numDeriv","2016.8-1.1"
"openssl","2.3.1"
"operator.tools","1.6.3"
"optparse","1.7.5"
"ordinal","2023.12-4.1"
"padr","0.6.3"
"pammtools","0.5.93"
"pan","1.9"
"pander","0.6.5"
"parallelly","1.41.0"
"parameters","0.24.1"
"parglm","0.1.7"
"parsnip","1.2.1"
"patchwork","1.3.0"
"pbapply","1.7-2"
"pbkrtest","0.5.3"
"pcaPP","2.0-5"
"pch","2.1"
"pec","2023.04.12"
"performance","0.12.4"
"PerformanceAnalytics","2.0.8"
"permute","0.9-7"
"PHEindicatormethods","2.1.0"
"pillar","1.10.1"
"pkgbuild","1.4.5"
"pkgconfig","2.0.3"
"pkgload","1.4.0"
"plotly","4.10.4"
"plotrix","3.8-4"
"plyr","1.8.9"
"png","0.1-8"
"polspline","1.1.25"
"polynom","1.4-1"
"posterior","1.6.0"
"pracma","2.4.4"
"predtools","0.0.3"
"prettyunits","1.2.0"
"pROC","1.18.5"
"processx","3.8.5"
"prodlim","2024.06.25"
"progress","1.2.3"
"progressr","0.15.1"
"promises","1.3.2"
"proxy","0.4-27"
"ps","1.8.1"
"pscl","1.5.9"
"pseudo","1.4.3"
"Publish","2023.01.17"
"purrr","1.0.2"
"pyinit","1.1.3"
"qap","0.1-2"
"qgam","1.3.4"
"quadprog","1.5-8"
"quantmod","0.4.26"
"quantreg","5.99.1"
"QuickJSR","1.5.1"
"qvcalc","1.0.3"
"R.cache","0.16.0"
"R.methodsS3","1.8.2"
"R.oo","1.27.0"
"R.utils","2.12.3"
"R6","2.5.1"
"ragg","1.3.3"
"rainbow","3.8"
"randomForest","4.7-1.2"
"randomForestExplainer","0.10.1"
"randtoolbox","2.0.5"
"ranger","0.17.0"
"rappdirs","0.3.3"
"rbibutils","2.3"
"RColorBrewer","1.1-3"
"RConics","1.1.1"
"Rcpp","1.0.14"
"RcppArmadillo","14.2.2-1"
"RcppEigen","0.3.4.0.2"
"RcppParallel","5.1.9"
"RcppProgress","0.4.2"
"RcppRoll","0.3.1"
"RcppThread","2.2.0"
"RCurl","1.98-1.16"
"Rdpack","2.6.2"
"rdrobust","2.2"
"reactable","0.4.4"
"reactR","0.6.1"
"readr","2.1.5"
"readxl","1.4.3"
"recipes","1.1.0"
"reformulas","0.4.0"
"registry","0.5-1"
"relimp","1.0-5"
"relsurv","2.2-9"
"rematch","2.0.0"
"rematch2","2.1.2"
"remotes","2.5.0"
"repr","1.1.7"
"reprex","2.1.1"
"reshape2","1.4.4"
"rex","1.2.1"
"riskRegression","2023.12.21"
"rlang","1.1.4"
"rmarkdown","2.29"
"rms","6.9-0"
"rngWELL","0.10-10"
"RobStatTM","1.0.11"
"robustbase","0.99-4-1"
"ROI","1.0-1"
"ROI.plugin.lpsolve","1.0-2"
"roxygen2","7.3.2"
"rpart","4.1.24"
"rpart.plot","3.1.2"
"rprojroot","2.0.4"
"rrcov","1.7-6"
"rsample","1.2.1"
"RSpectra","0.16-2"
"rstan","2.32.6"
"rstantools","2.4.0"
"rstatix","0.7.2"
"rstpm2","1.6.6.1"
"rstudioapi","0.17.1"
"rvest","1.0.4"
"s2","1.1.7"
"sandwich","3.1-1"
"sass","0.4.9"
"scales","1.3.0"
"SCCS","1.7"
"secretbase","1.0.3"
"segmented","2.1-3"
"selectr","0.4-2"
"seriation","1.5.7"
"sf","1.0-19"
"sfd","0.1.0"
"shades","1.4.0"
"shape","1.4.6.1"
"shapviz","0.9.6"
"shiny","1.10.0"
"shinyjs","2.1.0"
"sjlabelled","1.2.0"
"sjmisc","2.8.10"
"sjPlot","2.8.17"
"sjstats","0.19.0"
"skimr","2.1.5"
"slam","0.1-55"
"slider","0.3.2"
"snakecase","0.11.1"
"sourcetools","0.1.7-1"
"sp","2.1-4"
"SparseM","1.84-2"
"speedglm","0.3-5"
"splines2","0.5.3"
"SQUAREM","2021.1"
"StanHeaders","2.32.10"
"statmod","1.5.0"
"stringdist","0.9.15"
"stringi","1.8.4"
"stringr","1.5.1"
"styler","1.10.3"
"survey","4.4-2"
"survival","3.8-3"
"survminer","0.5.0"
"survMisc","0.5.6"
"svglite","2.1.3"
"sweep","0.2.5"
"sys","3.4.3"
"systemfonts","1.1.0"
"tables","0.9.31"
"targets","1.10.0"
"tensorA","0.36.2.1"
"textshaping","0.4.1"
"TH.data","1.1-2"
"tibble","3.2.1"
"tictoc","1.2.1"
"tidycmprsk","1.1.0"
"tidymodels","1.2.0"
"tidypredict","0.5.1"
"tidyquant","1.0.10"
"tidyr","1.3.1"
"tidyselect","1.2.1"
"tidyverse","2.0.0"
"timechange","0.3.0"
"timeDate","4041.110"
"timereg","2.0.6"
"timetk","2.9.0"
"tinytable","0.6.1"
"tinytex","0.54"
"TMB","1.9.16"
"tmvtnorm","1.6"
"TrialEmulation","0.0.4.0"
"tseries","0.10-58"
"tsfeatures","1.1.1"
"tsModel","0.6-2"
"TSP","1.2-4"
"TTR","0.24.4"
"tune","1.2.1"
"twopartm","0.1.0"
"tzdb","0.4.0"
"ucminf","1.2.2"
"unigd","0.1.2"
"units","0.8-5"
"UpSetR","1.4.0"
"urca","1.3-4"
"utf8","1.2.4"
"uuid","1.2-1"
"V8","6.0.0"
"vcd","1.4-13"
"vctrs","0.6.5"
"vegan","2.6-8"
"VGAM","1.1-12"
"viridis","0.6.5"
"viridisLite","0.4.2"
"visdat","0.6.0"
"visNetwork","2.1.2"
"vroom","1.6.5"
"warp","0.2.1"
"WeightIt","1.3.2"
"withr","3.0.2"
"wk","0.9.4"
"workflows","1.1.4"
"workflowsets","1.1.0"
"xfun","0.50"
"xgboost","1.7.8.1"
"XML","3.99-0.18"
"xml2","1.3.6"
"xmlparsedata","1.0.5"
"xtable","1.8-4"
"xts","0.14.1"
"yaml","2.3.10"
"yardstick","1.3.1"
"zip","2.3.1"
"zoo","1.8-12"
"base","4.4.2"
"compiler","4.4.2"
"datasets","4.4.2"
"graphics","4.4.2"
"grDevices","4.4.2"
"grid","4.4.2"
"methods","4.4.2"
"parallel","4.4.2"
"splines","4.4.2"
"stats","4.4.2"
"stats4","4.4.2"
"tcltk","4.4.2"
"tools","4.4.2"
"utils","4.4.2"
